"@timestamp","@version","@version.keyword","_id","_index","_score","event.original","event.original.keyword","host.ip","host.ip.keyword",message,"message.keyword",tags,"tags.keyword",type,"type.keyword"
"Oct 25, 2022 @ 04:32:00.026",1,1,ltrpDoQBvD32VbPe5GoE,"syslog-2022.10.25","-","<78>Oct 25 11:32:00 /usr/sbin/cron[64993]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:32:00 /usr/sbin/cron[64993]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:32:00 /usr/sbin/cron[64993]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:32:00 /usr/sbin/cron[64993]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:31:00.074",1,1,"e9roDoQBvD32VbPe-WrU","syslog-2022.10.25","-","<78>Oct 25 11:31:00 /usr/sbin/cron[44390]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:31:00 /usr/sbin/cron[44390]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:31:00 /usr/sbin/cron[44390]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:31:00 /usr/sbin/cron[44390]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:30:00.091",1,1,1droDoQBvD32VbPeD2mD,"syslog-2022.10.25","-","<78>Oct 25 11:30:00 /usr/sbin/cron[23183]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 11:30:00 /usr/sbin/cron[23183]: (root) CMD (/usr/libexec/atrun)","192.168.169.1","192.168.169.1","<78>Oct 25 11:30:00 /usr/sbin/cron[23183]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 11:30:00 /usr/sbin/cron[23183]: (root) CMD (/usr/libexec/atrun)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:30:00.091",1,1,1troDoQBvD32VbPeD2mD,"syslog-2022.10.25","-","<78>Oct 25 11:30:00 /usr/sbin/cron[23082]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:30:00 /usr/sbin/cron[23082]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:30:00 /usr/sbin/cron[23082]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:30:00 /usr/sbin/cron[23082]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:29:05.410",1,1,1NrnDoQBvD32VbPeOWnq,"syslog-2022.10.25","-","<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,","<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,","192.168.169.1","192.168.169.1","<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,","<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:29:00.140",1,1,09rnDoQBvD32VbPeJWlT,"syslog-2022.10.25","-","<78>Oct 25 11:29:00 /usr/sbin/cron[2737]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:29:00 /usr/sbin/cron[2737]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 11:29:00 /usr/sbin/cron[2737]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 11:29:00 /usr/sbin/cron[2737]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:28:56.256",1,1,0trnDoQBvD32VbPeFmkn,"syslog-2022.10.25","-","<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","192.168.169.1","192.168.169.1","<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:28:51.095",1,1,0drnDoQBvD32VbPeAmkA,"syslog-2022.10.25","-","<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","192.168.169.1","192.168.169.1","<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:28:49.039",1,1,"0NrmDoQBvD32VbPe-Wn3","syslog-2022.10.25","-","<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","192.168.169.1","192.168.169.1","<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 04:28:48.039",1,1,z9rmDoQBvD32VbPe9mkQ,"syslog-2022.10.25","-","<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","192.168.169.1","192.168.169.1","<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,","<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",syslog,syslog,syslog,syslog
