"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:35:43.756",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/99.r4ns0mE.r4ns0mE","1,287",file,"-"
"Oct 26, 2022 @ 01:35:43.754",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/81.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.751",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/81.r4ns0mE.r4ns0mE",927,file,"-"
"Oct 26, 2022 @ 01:35:43.750",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/37.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.747",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/37.r4ns0mE.r4ns0mE","1,143",file,"-"
"Oct 26, 2022 @ 01:35:43.745",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/12.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.742",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/12.r4ns0mE.r4ns0mE","1,102",file,"-"
"Oct 26, 2022 @ 01:35:43.741",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/136.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.738",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/136.r4ns0mE.r4ns0mE","1,026",file,"-"
"Oct 26, 2022 @ 01:35:43.737",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/115.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.734",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/115.r4ns0mE.r4ns0mE","1,047",file,"-"
"Oct 26, 2022 @ 01:35:43.733",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/4.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.730",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/4.r4ns0mE.r4ns0mE","1,288",file,"-"
"Oct 26, 2022 @ 01:35:43.728",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/34.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.726",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/34.r4ns0mE.r4ns0mE","1,505",file,"-"
"Oct 26, 2022 @ 01:35:43.724",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/56.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.721",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/56.r4ns0mE.r4ns0mE","1,481",file,"-"
"Oct 26, 2022 @ 01:35:43.720",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/31.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.717",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/31.r4ns0mE.r4ns0mE","1,145",file,"-"
"Oct 26, 2022 @ 01:35:43.716",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/18.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.713",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/18.r4ns0mE.r4ns0mE","1,500",file,"-"
"Oct 26, 2022 @ 01:35:43.711",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/10-red.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.709",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/10-red.r4ns0mE.r4ns0mE","1,185",file,"-"
"Oct 26, 2022 @ 01:35:43.707",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/23.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.705",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/23.r4ns0mE.r4ns0mE","1,235",file,"-"
"Oct 26, 2022 @ 01:35:43.702",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/57.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.699",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/57.r4ns0mE.r4ns0mE","1,195",file,"-"
"Oct 26, 2022 @ 01:35:43.698",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/62.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.695",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/62.r4ns0mE.r4ns0mE","1,292",file,"-"
"Oct 26, 2022 @ 01:35:43.693",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/100.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.690",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/100.r4ns0mE.r4ns0mE","1,171",file,"-"
"Oct 26, 2022 @ 01:35:43.688",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/105.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.685",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/105.r4ns0mE.r4ns0mE","1,327",file,"-"
"Oct 26, 2022 @ 01:35:43.684",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/42.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.681",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/42.r4ns0mE.r4ns0mE","1,444",file,"-"
"Oct 26, 2022 @ 01:35:43.679",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/71.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.676",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/71.r4ns0mE.r4ns0mE","1,187",file,"-"
"Oct 26, 2022 @ 01:35:43.674",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/68.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.671",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/68.r4ns0mE.r4ns0mE","1,285",file,"-"
