"@timestamp","event.type","event.module","event.action","file.path","file.owner","file.type","file.size"
"Oct 24, 2022 @ 17:02:58.286",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/random-word-doc-1.lock64",root,file,24
"Oct 24, 2022 @ 17:02:58.153",deletion,"file_integrity",deleted,"/var/research/3204ResearchMaterials/kill-me-now.doc","-","-","-"
"Oct 24, 2022 @ 17:02:58.007",creation,"file_integrity",created,"/var/research/3204ResearchMaterials/kill-me-now.lock64",root,file,24
"Oct 24, 2022 @ 17:02:05.305",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"189,036"
"Oct 24, 2022 @ 17:02:04.867",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:02:04.579",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"189,006"
"Oct 24, 2022 @ 17:02:04.456",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,560,000"
"Oct 24, 2022 @ 17:02:04.225",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"188,946"
"Oct 24, 2022 @ 17:02:04.036",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,150,400"
"Oct 24, 2022 @ 17:02:03.903",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"186,276"
"Oct 24, 2022 @ 17:02:03.649",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,259,520"
"Oct 24, 2022 @ 17:02:03.472",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"183,336"
"Oct 24, 2022 @ 17:02:03.306",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 17:01:04.747",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:01:04.521",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"181,506"
"Oct 24, 2022 @ 17:01:04.443",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,560,000"
"Oct 24, 2022 @ 17:01:04.342",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"181,476"
"Oct 24, 2022 @ 17:01:04.264",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,539,520"
"Oct 24, 2022 @ 17:01:04.197",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"180,396"
"Oct 24, 2022 @ 17:01:04.097",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,730,560"
"Oct 24, 2022 @ 17:01:04.030",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"177,906"
"Oct 24, 2022 @ 17:01:03.952",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,228,800"
"Oct 24, 2022 @ 17:01:03.874",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"177,456"
"Oct 24, 2022 @ 17:01:03.779",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,064,960"
"Oct 24, 2022 @ 17:01:03.690",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"176,976"
"Oct 24, 2022 @ 17:01:03.600",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"727,040"
"Oct 24, 2022 @ 17:01:03.522",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"175,356"
"Oct 24, 2022 @ 17:01:03.379",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"245,760"
"Oct 24, 2022 @ 17:01:03.267",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"174,606"
"Oct 24, 2022 @ 17:01:03.157",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"40,960"
"Oct 24, 2022 @ 17:01:02.989",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 17:00:05.104",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"173,976"
"Oct 24, 2022 @ 17:00:04.929",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
