"@timestamp",message,"process.name","user.effective.name","system.auth.sudo.user","system.auth.sudo.error","system.auth.sudo.command"
"Oct 24, 2022 @ 23:37:19.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:52.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:52.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:43.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:43.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:36.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:36.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:36:26.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:36:26.000","pam_unix(sudo:session): session opened for user root by (uid=0)",sudo,root,"-","-","-"
"Oct 24, 2022 @ 23:23:56.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:14:07.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:09:41.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:07:51.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 24, 2022 @ 23:05:19.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","Successful su for root by root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 24, 2022 @ 23:04:05.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
