"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:29:22.647",file,"/home/resch/destination/.scripts/collectiontarget.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:22.496",file,"/home/resch/destination/.scripts/check.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:21.122",file,"/home/resch/destination/.scripts/persistence2.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:18.815",file,"/home/resch/destination/.scripts/encrypt.py.1",creation,0644,resch,1
"Oct 25, 2022 @ 00:29:13.184",file,"/home/resch/destination/research/test.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:29:13.117",file,"/home/resch/destination/research/research2.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:13.053",file,"/home/resch/destination/research/research1.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:12.972",file,"/home/resch/destination/research/3204ResearchMaterials/[FORM] Code of Conduct ICT Legal 2019.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:12.894",file,"/home/resch/destination/research/3204ResearchMaterials/SIT_logo_2.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:29:12.827",file,"/home/resch/destination/research/3204ResearchMaterials/Details-of-Deliverable-1_ICT3203.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:12.737",file,"/home/resch/destination/research/3204ResearchMaterials/witches.jpeg",creation,0644,resch,jpeg
"Oct 25, 2022 @ 00:29:12.632",file,"/home/resch/destination/research/3204ResearchMaterials/gudetama-1.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:29:12.632",file,"/home/resch/destination/research/3204ResearchMaterials/kill-me-now.doc",creation,0644,resch,doc
"Oct 25, 2022 @ 00:29:12.453",file,"/home/resch/destination/research/3204ResearchMaterials/birdfood.PNG",creation,0644,resch,PNG
"Oct 25, 2022 @ 00:29:12.374",file,"/home/resch/destination/research/3204ResearchMaterials/3204lab-test-results-1.xlsx",creation,0644,resch,xlsx
"Oct 25, 2022 @ 00:29:12.274",file,"/home/resch/destination/research/3204ResearchMaterials/3204_security_analytics.txt",creation,0644,resch,txt
"Oct 25, 2022 @ 00:29:12.151",file,"/home/resch/destination/research/3204ResearchMaterials/random-word-doc-1.docx",creation,0644,resch,docx
"Oct 25, 2022 @ 00:29:11.776",file,"/home/resch/destination/research/3204ResearchMaterials/excel-sample-1.xlsx",creation,0644,resch,xlsx
"Oct 25, 2022 @ 00:29:11.669",file,"/home/resch/destination/research/3204ResearchMaterials/crying-cat-in-shower.jpg",creation,0644,resch,jpg
"Oct 25, 2022 @ 00:29:10.917",file,"/home/resch/destination/research/--checkpoint=1",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:10.394",file,"/home/resch/destination/research/--checkpoint-action=exec=sh test.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:28:20.198",file,"/home/resch/destination/.git/objects/8e/11a21388c0d4653970d6b2d28f17f71d999318",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:28:18.568",file,"/home/resch/destination/.git/objects/52/0222f122e522c62c3d08ea4308c6b0ae18dd0b",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:28:02.195",file,"/home/resch/destination/.git/objects/83/699ac455fb1288e2e6a8c1d1990379c7a448bf",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:44.225",file,"/home/resch/destination/.git/objects/e8/6046680a88e7579021058ed4647b8f08fe486e",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:44.108",file,"/home/resch/destination/.git/objects/e8/fc3cf37f0a65156dd9a381846472e3dd11f6da",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:41.916",file,"/home/resch/destination/.git/objects/b2/4ab7468b2d8ae38f44b683d3a48565363085f2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:39.345",file,"/home/resch/destination/.git/objects/e0/7eaa8433f318698f92f7824044f9db428785a2",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:31.410",file,"/home/resch/destination/.git/objects/50/ad10101c45265bedcf58c06a572414bde50b0a",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:19.228",file,"/home/resch/destination/.git/objects/38/ff22cf6c19adb4963d827bfa37f4b547c2f471",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:17.369",file,"/home/resch/destination/.git/objects/45/a56e0606bfc82a751964c0dd17eefc01a423fc",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:10.624",file,"/home/resch/destination/.git/objects/48/eeaa3760532c29c424c69237e7033f71c33e53",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:05.191",file,"/home/resch/destination/.git/objects/77/26dd3633a7125e3327727038dd64d641fdbf7b",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:27:01.741",file,"/home/resch/destination/.git/objects/01/b5dd2aed94664325b09ef85d9cb49d65e96f14",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:26:45.433",file,"/home/resch/destination/--checkpoint-action=exec=sh test.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:26:22.024",file,"/home/resch/destination/exploit",creation,0755,resch,"-"
"Oct 25, 2022 @ 00:26:14.903",file,"/home/resch/destination/.ssh/id_rsa",creation,0600,resch,"-"
"Oct 25, 2022 @ 00:26:14.635",file,"/home/resch/destination/.ssh/id_rsa.pub",creation,0644,resch,pub
"Oct 25, 2022 @ 00:26:13.743",file,"/home/resch/destination/3204_security_analytics.txt",creation,0644,resch,txt
"Oct 25, 2022 @ 00:25:49.516",file,"/home/resch/destination/birdfood.PNG",creation,0644,resch,PNG
"Oct 25, 2022 @ 00:25:05.761",file,"/home/resch/destination/witches.jpeg",creation,0644,resch,jpeg
"Oct 25, 2022 @ 00:24:58.457",file,"/home/resch/destination/kill-me-now.doc",creation,0644,resch,doc
"Oct 25, 2022 @ 00:23:52.749",file,"/home/resch/destination/gudetama-1.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:23:38.827",file,"/home/resch/destination/excel-sample-1.xlsx",creation,0644,resch,xlsx
