@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 01:53:13.588",created,creation,"Oct 25, 2022 @ 01:53:13.565",-,0,root,/home/resch/destination/pam_tally2,/home/resch/destination/pam_tally2,"14,344",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.586",moved,change,-,-,-,-,/home/resch/destination/.pam_tally2.rsqXzC,/home/resch/destination/.pam_tally2.rsqXzC,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.585",created,creation,"Oct 25, 2022 @ 01:53:13.565",-,0,root,/home/resch/destination/fstrim,/home/resch/destination/fstrim,"43,088",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.583",moved,change,-,-,-,-,/home/resch/destination/.fstrim.EufDlC,/home/resch/destination/.fstrim.EufDlC,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.581",created,creation,"Oct 25, 2022 @ 01:53:13.555",-,0,root,/home/resch/destination/cfdisk,/home/resch/destination/cfdisk,"96,704",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.580",moved,change,-,-,-,-,/home/resch/destination/.cfdisk.s7HVcD,/home/resch/destination/.cfdisk.s7HVcD,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.578",created,creation,"Oct 25, 2022 @ 01:53:13.555",-,0,root,/home/resch/destination/fstab-decode,/home/resch/destination/fstab-decode,"6,136",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.577",moved,change,-,-,-,-,/home/resch/destination/.fstab-decode.02uvZC,/home/resch/destination/.fstab-decode.02uvZC,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.575",created,creation,"Oct 25, 2022 @ 01:53:13.555",-,0,root,/home/resch/destination/swaplabel,/home/resch/destination/swaplabel,"14,408",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.573",moved,change,-,-,-,-,/home/resch/destination/.swaplabel.a49HJC,/home/resch/destination/.swaplabel.a49HJC,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.572",created,creation,"Oct 25, 2022 @ 01:53:13.545",-,0,root,/home/resch/destination/zramctl,/home/resch/destination/zramctl,"92,352",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.570",moved,change,-,-,-,-,/home/resch/destination/.zramctl.Vo89AD,/home/resch/destination/.zramctl.Vo89AD,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.568",created,creation,"Oct 25, 2022 @ 01:53:13.545",-,0,root,/home/resch/destination/e2undo,/home/resch/destination/e2undo,"18,504",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.567",moved,change,-,-,-,-,/home/resch/destination/.e2undo.29kLnD,/home/resch/destination/.e2undo.29kLnD,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.564",created,creation,"Oct 25, 2022 @ 01:53:13.545",-,0,root,/home/resch/destination/agetty,/home/resch/destination/agetty,"56,552",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.562",moved,change,-,-,-,-,/home/resch/destination/.agetty.ddxHCz,/home/resch/destination/.agetty.ddxHCz,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.559",created,creation,"Oct 25, 2022 @ 01:53:13.535",-,0,root,/home/resch/destination/pam_extrausers_update,/home/resch/destination/pam_extrausers_update,"34,816",file,"172.17.0.3, 172.18.0.2",
